Timestamp,Gender,Age,Education,Occupation ,1. From when you started using smartphone?, 2. Which of the following social media website do you currently have an account with?,3. How often do you check-in to your social media accounts in any given week?,4. What is your go-to device to access your social media feed?,5. How often do you use the chat app on your social media accounts?,6. On an average how much time do you spend on social media?,7. What is your purpose of using social media website?,8. When do you access social media websites?,9.  Do you check your social media account before going to bed?,10. How does social media affect your physical and mental health?,11. How often do you face health issues?,12. Do you want to share your opinion about social media addiction?
6/19/2021 10:54:54,Female,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, LinkedIn, Zoom/Google Meet etc.",Daily,"Mobile, Laptop",Very often,Less than 30 mins,"To make friends, To socialize casually, Online Gaming, Studying",During my free time,Yes,"Headache, Depression, Eye Related Issues, Mood swings",Twice a week,Yes
6/19/2021 11:10:39,Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix, Prime, Disney+hotstar",Every hour,"Mobile, Laptop",Extremely often,3-4 hours,"To socialize casually, To find employment, Online Gaming, Studying","During my free time, During meal times",Yes,"Back Pain, Headache, Anxiety, Eye Related Issues, Mood swings",Once a week,Yes
6/19/2021 11:12:41,Female,20 to 30,U.G,Student,20 to 30 AgeGroup,"WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Daily,"Mobile, Laptop, Desktop",Extremely often,An hour,"To make friends, To promote products/services","During my free time, While at school/university/work",Yes,Headache,,Yes
6/19/2021 11:41:42,Female,20 to 30,Graduate,Employee,10 to 20 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram",Daily,"Mobile, Laptop",Every 3-4 hours,1-2 hours,"To make friends, To promote products/services, Studying","During my free time, During social occasions",No,Mood swings,Once a month,No
6/19/2021 11:46:28,Female,20 to 30,Graduate,Student,20 to 30 AgeGroup,"Facebook, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc.",Every hour,"Mobile, Tablet, Laptop, Desktop",Every hour,Less than 30 mins,"To make friends, To socialize casually, To find employment, Online Gaming, Studying","During my free time, While at school/university/work",Yes,"Back Pain, Headache, Depression, Anxiety, Eye Related Issues, Mood swings",Once a week,Yes
6/19/2021 12:25:00,Female,20 to 30,U.G,Student,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,"Mobile, Laptop",Every hour,More than 4 hours,"To socialize casually, Online Gaming, Studying","During my free time, During meal times",Yes,"Back Pain, Headache, Anxiety, Eye Related Issues, Mood swings",Twice a week,Yes
6/19/2021 13:06:43,Female,30 to 50,P.G,Employee,20 to 30 AgeGroup,"Facebook, WhatsApp",Daily,Mobile,Every day,Less than 30 mins,To find employment,During my free time,No,"Anxiety, Eye Related Issues",Once a month,No
6/19/2021 18:03:06,Male,20 to 30,U.G,Student,10 to 20 AgeGroup,"Twitter, WhatsApp, Instagram, Telegram, Snapchat, Tumblr",Daily,"Mobile, Laptop",Every hour,More than 4 hours,"To make friends, To socialize casually, To find a suitable date, To promote products/services, To find employment, Online Gaming, Studying","During my free time, During meal times",Yes,"Back Pain, Eye Related Issues",Thrice a month,
6/19/2021 18:05:19,Male,20 to 30,Graduate,Student,10 to 20 AgeGroup,"WhatsApp, Instagram",Daily,Mobile,Every 5-15 minutes,More than 4 hours,To socialize casually,During my free time,Yes,"Headache, Depression, Eye Related Issues, Mood swings",Twice a week,
6/19/2021 18:07:16,Male,20 to 30,Graduate,Entrepreneur,10 to 20 AgeGroup,"Facebook, Twitter, WhatsApp, Instagram, LinkedIn, Zoom/Google Meet etc., Telegram, Netflix",Every hour,"Mobile, Laptop",Every 5-15 minutes,More than 4 hours,Online Gaming,"During my free time, While at school/university/work, During social occasions, During meal times",Yes,"Eye Related Issues, Mood swings",Once a month,
